File,2.csv,
1468.835520,1.7650E-004,1468.835520,1.0400E-004,1468.835520,6.7320E-005,1468.835520,2.2990E-005,1468.835520,2.6218E000
1468.852000,1.7710E-004,1468.852000,1.0430E-004,1468.852000,6.7320E-005,1468.852000,2.3050E-005,1468.852000,2.6307E000
1468.868480,1.7740E-004,1468.868480,1.0440E-004,1468.868480,6.7240E-005,1468.868480,2.3090E-005,1468.868480,2.6383E000
1468.884960,1.7730E-004,1468.884960,1.0460E-004,1468.884960,6.7530E-005,1468.884960,2.3050E-005,1468.884960,2.6255E000
1468.901440,1.7730E-004,1468.901440,1.0460E-004,1468.901440,6.7560E-005,1468.901440,2.3050E-005,1468.901440,2.6243E000
1468.917920,1.7770E-004,1468.917920,1.0490E-004,1468.917920,6.7680E-005,1468.917920,2.3070E-005,1468.917920,2.6256E000
1468.934400,1.7770E-004,1468.934400,1.0500E-004,1468.934400,6.7640E-005,1468.934400,2.3110E-005,1468.934400,2.6271E000
1468.950880,1.7730E-004,1468.950880,1.0470E-004,1468.950880,6.7640E-005,1468.950880,2.3090E-005,1468.950880,2.6212E000
1468.967360,1.7770E-004,1468.967360,1.0470E-004,1468.967360,6.7620E-005,1468.967360,2.3140E-005,1468.967360,2.6279E000
1468.983840,1.7750E-004,1468.983840,1.0470E-004,1468.983840,6.7510E-005,1468.983840,2.2980E-005,1468.983840,2.6292E000
1469.000320,1.7710E-004,1469.000320,1.0450E-004,1469.000320,6.7380E-005,1469.000320,2.3030E-005,1469.000320,2.6284E000
1469.016800,1.7740E-004,1469.016800,1.0450E-004,1469.016800,6.7430E-005,1469.016800,2.3010E-005,1469.016800,2.6309E000
1469.033280,1.7750E-004,1469.033280,1.0470E-004,1469.033280,6.7560E-005,1469.033280,2.2990E-005,1469.033280,2.6273E000
1469.049760,1.7770E-004,1469.049760,1.0460E-004,1469.049760,6.7620E-005,1469.049760,2.2970E-005,1469.049760,2.6279E000
1469.066240,1.7780E-004,1469.066240,1.0460E-004,1469.066240,6.7470E-005,1469.066240,2.2970E-005,1469.066240,2.6352E000
1469.082720,1.7790E-004,1469.082720,1.0480E-004,1469.082720,6.7370E-005,1469.082720,2.3010E-005,1469.082720,2.6406E000
1469.099200,1.7810E-004,1469.099200,1.0510E-004,1469.099200,6.7680E-005,1469.099200,2.3060E-005,1469.099200,2.6315E000
1469.115680,1.7820E-004,1469.115680,1.0520E-004,1469.115680,6.7710E-005,1469.115680,2.3080E-005,1469.115680,2.6318E000
1469.132160,1.7890E-004,1469.132160,1.0530E-004,1469.132160,6.7710E-005,1469.132160,2.3160E-005,1469.132160,2.6422E000
1469.148640,1.7890E-004,1469.148640,1.0560E-004,1469.148640,6.7920E-005,1469.148640,2.3180E-005,1469.148640,2.6340E000
1469.165120,1.7890E-004,1469.165120,1.0550E-004,1469.165120,6.7880E-005,1469.165120,2.3230E-005,1469.165120,2.6355E000
1469.181600,1.7920E-004,1469.181600,1.0580E-004,1469.181600,6.8090E-005,1469.181600,2.3160E-005,1469.181600,2.6318E000
1469.198080,1.7920E-004,1469.198080,1.0540E-004,1469.198080,6.8050E-005,1469.198080,2.3210E-005,1469.198080,2.6334E000
1469.214560,1.7910E-004,1469.214560,1.0550E-004,1469.214560,6.7880E-005,1469.214560,2.3160E-005,1469.214560,2.6385E000
1469.231040,1.7930E-004,1469.231040,1.0540E-004,1469.231040,6.7860E-005,1469.231040,2.3160E-005,1469.231040,2.6422E000
1469.247520,1.7890E-004,1469.247520,1.0540E-004,1469.247520,6.7730E-005,1469.247520,2.3160E-005,1469.247520,2.6414E000
1469.264000,1.7920E-004,1469.264000,1.0530E-004,1469.264000,6.7960E-005,1469.264000,2.3100E-005,1469.264000,2.6368E000
1469.280480,1.7920E-004,1469.280480,1.0550E-004,1469.280480,6.7710E-005,1469.280480,2.3100E-005,1469.280480,2.6466E000
1469.296960,1.7920E-004,1469.296960,1.0560E-004,1469.296960,6.7730E-005,1469.296960,2.3230E-005,1469.296960,2.6458E000
1469.313440,1.7920E-004,1469.313440,1.0570E-004,1469.313440,6.7840E-005,1469.313440,2.3210E-005,1469.313440,2.6415E000
1469.329920,1.7930E-004,1469.329920,1.0580E-004,1469.329920,6.7880E-005,1469.329920,2.3340E-005,1469.329920,2.6414E000
1469.346400,1.7980E-004,1469.346400,1.0600E-004,1469.346400,6.8010E-005,1469.346400,2.3420E-005,1469.346400,2.6437E000
1469.362880,1.7990E-004,1469.362880,1.0600E-004,1469.362880,6.8050E-005,1469.362880,2.3400E-005,1469.362880,2.6436E000
1469.379360,1.8040E-004,1469.379360,1.0640E-004,1469.379360,6.8220E-005,1469.379360,2.3480E-005,1469.379360,2.6444E000
1469.395840,1.8040E-004,1469.395840,1.0630E-004,1469.395840,6.8150E-005,1469.395840,2.3530E-005,1469.395840,2.6471E000
1469.412320,1.8000E-004,1469.412320,1.0610E-004,1469.412320,6.8090E-005,1469.412320,2.3440E-005,1469.412320,2.6436E000
1469.428800,1.7970E-004,1469.428800,1.0610E-004,1469.428800,6.8090E-005,1469.428800,2.3510E-005,1469.428800,2.6392E000
1469.445280,1.7880E-004,1469.445280,1.0550E-004,1469.445280,6.7770E-005,1469.445280,2.3340E-005,1469.445280,2.6383E000
1469.461760,1.7720E-004,1469.461760,1.0470E-004,1469.461760,6.7300E-005,1469.461760,2.3230E-005,1469.461760,2.6330E000
1469.478240,1.7370E-004,1469.478240,1.0270E-004,1469.478240,6.6130E-005,1469.478240,2.2970E-005,1469.478240,2.6266E000
1469.494720,1.6840E-004,1469.494720,9.9900E-005,1469.494720,6.4120E-005,1469.494720,2.2480E-005,1469.494720,2.6263E000
1469.511200,1.6560E-004,1469.511200,9.7600E-005,1469.511200,6.2470E-005,1469.511200,2.1710E-005,1469.511200,2.6509E000
1469.527680,1.6930E-004,1469.527680,9.9180E-005,1469.527680,6.3240E-005,1469.527680,2.1800E-005,1469.527680,2.6771E000
1469.544160,1.7490E-004,1469.544160,1.0230E-004,1469.544160,6.5290E-005,1469.544160,2.2520E-005,1469.544160,2.6788E000
1469.560640,1.7840E-004,1469.560640,1.0480E-004,1469.560640,6.7050E-005,1469.560640,2.3190E-005,1469.560640,2.6607E000
1469.577120,1.8040E-004,1469.577120,1.0600E-004,1469.577120,6.7730E-005,1469.577120,2.3550E-005,1469.577120,2.6635E000
1469.593600,1.8110E-004,1469.593600,1.0680E-004,1469.593600,6.8050E-005,1469.593600,2.3740E-005,1469.593600,2.6613E000
1469.610080,1.8180E-004,1469.610080,1.0720E-004,1469.610080,6.8520E-005,1469.610080,2.3950E-005,1469.610080,2.6532E000
1469.626560,1.8250E-004,1469.626560,1.0740E-004,1469.626560,6.8600E-005,1469.626560,2.3980E-005,1469.626560,2.6603E000
1469.643040,1.8270E-004,1469.643040,1.0750E-004,1469.643040,6.8620E-005,1469.643040,2.4100E-005,1469.643040,2.6625E000
1469.659520,1.8280E-004,1469.659520,1.0780E-004,1469.659520,6.8820E-005,1469.659520,2.4120E-005,1469.659520,2.6562E000
1469.676000,1.8290E-004,1469.676000,1.0770E-004,1469.676000,6.8710E-005,1469.676000,2.4270E-005,1469.676000,2.6619E000
1469.692480,1.8290E-004,1469.692480,1.0760E-004,1469.692480,6.9010E-005,1469.692480,2.4210E-005,1469.692480,2.6503E000
1469.708960,1.8300E-004,1469.708960,1.0770E-004,1469.708960,6.8840E-005,1469.708960,2.4320E-005,1469.708960,2.6583E000
1469.725440,1.8320E-004,1469.725440,1.0780E-004,1469.725440,6.8750E-005,1469.725440,2.4280E-005,1469.725440,2.6647E000
1469.741920,1.8340E-004,1469.741920,1.0760E-004,1469.741920,6.8780E-005,1469.741920,2.4320E-005,1469.741920,2.6665E000
1469.758400,1.8330E-004,1469.758400,1.0770E-004,1469.758400,6.8860E-005,1469.758400,2.4470E-005,1469.758400,2.6619E000
1469.774880,1.8370E-004,1469.774880,1.0800E-004,1469.774880,6.8800E-005,1469.774880,2.4570E-005,1469.774880,2.6701E000
1469.791360,1.8390E-004,1469.791360,1.0810E-004,1469.791360,6.8990E-005,1469.791360,2.4620E-005,1469.791360,2.6656E000
1469.807840,1.8420E-004,1469.807840,1.0820E-004,1469.807840,6.9010E-005,1469.807840,2.4700E-005,1469.807840,2.6692E000
1469.824320,1.8470E-004,1469.824320,1.0860E-004,1469.824320,6.8900E-005,1469.824320,2.4810E-005,1469.824320,2.6807E000
1469.840800,1.8450E-004,1469.840800,1.0880E-004,1469.840800,6.9070E-005,1469.840800,2.4790E-005,1469.840800,2.6712E000
1469.857280,1.8510E-004,1469.857280,1.0880E-004,1469.857280,6.9350E-005,1469.857280,2.4980E-005,1469.857280,2.6691E000
1469.873760,1.8530E-004,1469.873760,1.0890E-004,1469.873760,6.9290E-005,1469.873760,2.4980E-005,1469.873760,2.6743E000
1469.890240,1.8500E-004,1469.890240,1.0880E-004,1469.890240,6.9390E-005,1469.890240,2.5020E-005,1469.890240,2.6661E000
1469.906720,1.8510E-004,1469.906720,1.0900E-004,1469.906720,6.9310E-005,1469.906720,2.5110E-005,1469.906720,2.6706E000
1469.923200,1.8500E-004,1469.923200,1.0890E-004,1469.923200,6.9290E-005,1469.923200,2.5020E-005,1469.923200,2.6699E000
1469.939680,1.8500E-004,1469.939680,1.0890E-004,1469.939680,6.9330E-005,1469.939680,2.5190E-005,1469.939680,2.6684E000
1469.956160,1.8520E-004,1469.956160,1.0880E-004,1469.956160,6.9140E-005,1469.956160,2.5210E-005,1469.956160,2.6786E000
1469.972640,1.8520E-004,1469.972640,1.0860E-004,1469.972640,6.9160E-005,1469.972640,2.5240E-005,1469.972640,2.6778E000
1469.989120,1.8520E-004,1469.989120,1.0890E-004,1469.989120,6.9030E-005,1469.989120,2.5360E-005,1469.989120,2.6829E000
1470.005600,1.8540E-004,1470.005600,1.0890E-004,1470.005600,6.8970E-005,1470.005600,2.5390E-005,1470.005600,2.6881E000
1470.022080,1.8520E-004,1470.022080,1.0900E-004,1470.022080,6.9200E-005,1470.022080,2.5340E-005,1470.022080,2.6763E000
1470.038560,1.8570E-004,1470.038560,1.0930E-004,1470.038560,6.9220E-005,1470.038560,2.5410E-005,1470.038560,2.6828E000
1470.055040,1.8610E-004,1470.055040,1.0940E-004,1470.055040,6.9180E-005,1470.055040,2.5490E-005,1470.055040,2.6901E000
1470.071520,1.8620E-004,1470.071520,1.0960E-004,1470.071520,6.9310E-005,1470.071520,2.5660E-005,1470.071520,2.6865E000
1470.088000,1.8650E-004,1470.088000,1.0970E-004,1470.088000,6.9390E-005,1470.088000,2.5790E-005,1470.088000,2.6877E000
1470.104480,1.8630E-004,1470.104480,1.0940E-004,1470.104480,6.9390E-005,1470.104480,2.5850E-005,1470.104480,2.6848E000
1470.120960,1.8620E-004,1470.120960,1.0970E-004,1470.120960,6.9400E-005,1470.120960,2.5880E-005,1470.120960,2.6830E000
1470.137440,1.8660E-004,1470.137440,1.0980E-004,1470.137440,6.9520E-005,1470.137440,2.6000E-005,1470.137440,2.6841E000
1470.153920,1.8630E-004,1470.153920,1.0960E-004,1470.153920,6.9330E-005,1470.153920,2.5980E-005,1470.153920,2.6871E000
1470.170400,1.8640E-004,1470.170400,1.0960E-004,1470.170400,6.9400E-005,1470.170400,2.5960E-005,1470.170400,2.6859E000
1470.186880,1.8600E-004,1470.186880,1.0940E-004,1470.186880,6.9180E-005,1470.186880,2.6110E-005,1470.186880,2.6886E000
1470.203360,1.8590E-004,1470.203360,1.0950E-004,1470.203360,6.9200E-005,1470.203360,2.5980E-005,1470.203360,2.6864E000
1470.219840,1.8560E-004,1470.219840,1.0920E-004,1470.219840,6.8920E-005,1470.219840,2.6110E-005,1470.219840,2.6930E000
1470.236320,1.8600E-004,1470.236320,1.0910E-004,1470.236320,6.8990E-005,1470.236320,2.6150E-005,1470.236320,2.6960E000
1470.252800,1.8630E-004,1470.252800,1.0930E-004,1470.252800,6.8970E-005,1470.252800,2.6180E-005,1470.252800,2.7012E000
1470.269280,1.8650E-004,1470.269280,1.0950E-004,1470.269280,6.9010E-005,1470.269280,2.6220E-005,1470.269280,2.7025E000
1470.285760,1.8660E-004,1470.285760,1.0980E-004,1470.285760,6.9140E-005,1470.285760,2.6350E-005,1470.285760,2.6989E000
1470.302240,1.8730E-004,1470.302240,1.1010E-004,1470.302240,6.9370E-005,1470.302240,2.6520E-005,1470.302240,2.7000E000
1470.318720,1.8720E-004,1470.318720,1.1030E-004,1470.318720,6.9440E-005,1470.318720,2.6590E-005,1470.318720,2.6959E000
1470.335200,1.8740E-004,1470.335200,1.1030E-004,1470.335200,6.9550E-005,1470.335200,2.6740E-005,1470.335200,2.6945E000
1470.351680,1.8750E-004,1470.351680,1.1030E-004,1470.351680,6.9330E-005,1470.351680,2.6710E-005,1470.351680,2.7045E000
1470.368160,1.8760E-004,1470.368160,1.1010E-004,1470.368160,6.9350E-005,1470.368160,2.6820E-005,1470.368160,2.7051E000
1470.384640,1.8700E-004,1470.384640,1.0990E-004,1470.384640,6.9030E-005,1470.384640,2.6840E-005,1470.384640,2.7090E000
1470.401120,1.8700E-004,1470.401120,1.0990E-004,1470.401120,6.9250E-005,1470.401120,2.6840E-005,1470.401120,2.7004E000
1470.417600,1.8700E-004,1470.417600,1.1020E-004,1470.417600,6.8970E-005,1470.417600,2.6910E-005,1470.417600,2.7113E000
1470.434080,1.8720E-004,1470.434080,1.1010E-004,1470.434080,6.9070E-005,1470.434080,2.7010E-005,1470.434080,2.7103E000
1470.450560,1.8710E-004,1470.450560,1.1010E-004,1470.450560,6.9010E-005,1470.450560,2.7080E-005,1470.450560,2.7112E000
1470.467040,1.8740E-004,1470.467040,1.1030E-004,1470.467040,6.8930E-005,1470.467040,2.7190E-005,1470.467040,2.7187E000
1470.483520,1.8740E-004,1470.483520,1.0990E-004,1470.483520,6.9010E-005,1470.483520,2.7230E-005,1470.483520,2.7155E000
1470.500000,1.8710E-004,1470.500000,1.1030E-004,1470.500000,6.9070E-005,1470.500000,2.7310E-005,1470.500000,2.7088E000
1470.516480,1.8670E-004,1470.516480,1.0980E-004,1470.516480,6.8750E-005,1470.516480,2.7270E-005,1470.516480,2.7156E000
1470.532960,1.8590E-004,1470.532960,1.0940E-004,1470.532960,6.8520E-005,1470.532960,2.7290E-005,1470.532960,2.7131E000
1470.549440,1.8530E-004,1470.549440,1.0900E-004,1470.549440,6.8220E-005,1470.549440,2.7290E-005,1470.549440,2.7162E000
1470.565920,1.8260E-004,1470.565920,1.0770E-004,1470.565920,6.7490E-005,1470.565920,2.7010E-005,1470.565920,2.7056E000
1470.582400,1.7860E-004,1470.582400,1.0540E-004,1470.582400,6.6280E-005,1470.582400,2.6720E-005,1470.582400,2.6946E000
1470.598880,1.7630E-004,1470.598880,1.0350E-004,1470.598880,6.4680E-005,1470.598880,2.6160E-005,1470.598880,2.7257E000
1470.615360,1.8020E-004,1470.615360,1.0530E-004,1470.615360,6.5600E-005,1470.615360,2.6350E-005,1470.615360,2.7470E000
1470.631840,1.8460E-004,1470.631840,1.0820E-004,1470.631840,6.7500E-005,1470.631840,2.7140E-005,1470.631840,2.7348E000
1470.648320,1.8720E-004,1470.648320,1.0940E-004,1470.648320,6.8500E-005,1470.648320,2.7740E-005,1470.648320,2.7328E000
1470.664800,1.8810E-004,1470.664800,1.1040E-004,1470.664800,6.8950E-005,1470.664800,2.8020E-005,1470.664800,2.7281E000
1470.681280,1.8840E-004,1470.681280,1.1060E-004,1470.681280,6.9050E-005,1470.681280,2.8290E-005,1470.681280,2.7285E000
1470.697760,1.8880E-004,1470.697760,1.1090E-004,1470.697760,6.9120E-005,1470.697760,2.8360E-005,1470.697760,2.7315E000
1470.714240,1.8900E-004,1470.714240,1.1120E-004,1470.714240,6.9180E-005,1470.714240,2.8490E-005,1470.714240,2.7320E000
1470.730720,1.8940E-004,1470.730720,1.1120E-004,1470.730720,6.9200E-005,1470.730720,2.8640E-005,1470.730720,2.7370E000
1470.747200,1.9010E-004,1470.747200,1.1150E-004,1470.747200,6.9400E-005,1470.747200,2.8850E-005,1470.747200,2.7392E000
1470.763680,1.9050E-004,1470.763680,1.1220E-004,1470.763680,6.9480E-005,1470.763680,2.8940E-005,1470.763680,2.7418E000
1470.780160,1.9110E-004,1470.780160,1.1230E-004,1470.780160,6.9690E-005,1470.780160,2.9210E-005,1470.780160,2.7421E000
1470.796640,1.9150E-004,1470.796640,1.1240E-004,1470.796640,6.9840E-005,1470.796640,2.9370E-005,1470.796640,2.7420E000
1470.813120,1.9130E-004,1470.813120,1.1270E-004,1470.813120,6.9970E-005,1470.813120,2.9300E-005,1470.813120,2.7340E000
1470.829600,1.9120E-004,1470.829600,1.1290E-004,1470.829600,6.9910E-005,1470.829600,2.9520E-005,1470.829600,2.7349E000
1470.846080,1.9130E-004,1470.846080,1.1280E-004,1470.846080,7.0020E-005,1470.846080,2.9580E-005,1470.846080,2.7321E000
1470.862560,1.9120E-004,1470.862560,1.1270E-004,1470.862560,6.9740E-005,1470.862560,2.9640E-005,1470.862560,2.7416E000
1470.879040,1.9120E-004,1470.879040,1.1240E-004,1470.879040,6.9550E-005,1470.879040,2.9690E-005,1470.879040,2.7491E000
1470.895520,1.9080E-004,1470.895520,1.1240E-004,1470.895520,6.9420E-005,1470.895520,2.9670E-005,1470.895520,2.7485E000
1470.912000,1.8980E-004,1470.912000,1.1170E-004,1470.912000,6.9030E-005,1470.912000,2.9690E-005,1470.912000,2.7495E000
1470.928480,1.8760E-004,1470.928480,1.1070E-004,1470.928480,6.8560E-005,1470.928480,2.9600E-005,1470.928480,2.7363E000
1470.944960,1.8480E-004,1470.944960,1.0860E-004,1470.944960,6.7350E-005,1470.944960,2.9200E-005,1470.944960,2.7439E000
1470.961440,1.8340E-004,1470.961440,1.0760E-004,1470.961440,6.6540E-005,1470.961440,2.8920E-005,1470.961440,2.7562E000
1470.977920,1.8650E-004,1470.977920,1.0940E-004,1470.977920,6.7300E-005,1470.977920,2.9240E-005,1470.977920,2.7712E000
1470.994400,1.8980E-004,1470.994400,1.1130E-004,1470.994400,6.8410E-005,1470.994400,2.9840E-005,1470.994400,2.7744E000
1471.010880,1.9120E-004,1471.010880,1.1240E-004,1471.010880,6.9290E-005,1471.010880,3.0370E-005,1471.010880,2.7594E000
1471.027360,1.9230E-004,1471.027360,1.1300E-004,1471.027360,6.9520E-005,1471.027360,3.0620E-005,1471.027360,2.7661E000
1471.043840,1.9270E-004,1471.043840,1.1330E-004,1471.043840,6.9820E-005,1471.043840,3.0770E-005,1471.043840,2.7600E000
1471.060320,1.9300E-004,1471.060320,1.1340E-004,1471.060320,6.9970E-005,1471.060320,3.1090E-005,1471.060320,2.7583E000
1471.076800,1.9290E-004,1471.076800,1.1320E-004,1471.076800,6.9910E-005,1471.076800,3.1140E-005,1471.076800,2.7593E000
1471.093280,1.9290E-004,1471.093280,1.1350E-004,1471.093280,6.9890E-005,1471.093280,3.1240E-005,1471.093280,2.7601E000
1471.109760,1.9250E-004,1471.109760,1.1340E-004,1471.109760,6.9800E-005,1471.109760,3.1290E-005,1471.109760,2.7579E000
1471.126240,1.9300E-004,1471.126240,1.1330E-004,1471.126240,6.9840E-005,1471.126240,3.1410E-005,1471.126240,2.7635E000
1471.142720,1.9250E-004,1471.142720,1.1310E-004,1471.142720,6.9520E-005,1471.142720,3.1460E-005,1471.142720,2.7690E000
1471.159200,1.9210E-004,1471.159200,1.1300E-004,1471.159200,6.9420E-005,1471.159200,3.1570E-005,1471.159200,2.7672E000
1471.175680,1.9230E-004,1471.175680,1.1300E-004,1471.175680,6.9290E-005,1471.175680,3.1540E-005,1471.175680,2.7753E000
1471.192160,1.9210E-004,1471.192160,1.1290E-004,1471.192160,6.9290E-005,1471.192160,3.1650E-005,1471.192160,2.7724E000
1471.208640,1.9250E-004,1471.208640,1.1320E-004,1471.208640,6.9380E-005,1471.208640,3.1780E-005,1471.208640,2.7746E000
1471.225120,1.9320E-004,1471.225120,1.1350E-004,1471.225120,6.9650E-005,1471.225120,3.1990E-005,1471.225120,2.7739E000
1471.241600,1.9360E-004,1471.241600,1.1360E-004,1471.241600,6.9530E-005,1471.241600,3.2200E-005,1471.241600,2.7844E000
1471.258080,1.9320E-004,1471.258080,1.1390E-004,1471.258080,6.9800E-005,1471.258080,3.2290E-005,1471.258080,2.7679E000
1471.274560,1.9380E-004,1471.274560,1.1390E-004,1471.274560,6.9670E-005,1471.274560,3.2550E-005,1471.274560,2.7817E000
1471.291040,1.9400E-004,1471.291040,1.1410E-004,1471.291040,6.9800E-005,1471.291040,3.2500E-005,1471.291040,2.7794E000
1471.307520,1.9440E-004,1471.307520,1.1430E-004,1471.307520,6.9850E-005,1471.307520,3.2780E-005,1471.307520,2.7831E000
1471.324000,1.9440E-004,1471.324000,1.1420E-004,1471.324000,6.9670E-005,1471.324000,3.2870E-005,1471.324000,2.7903E000
1471.340480,1.9440E-004,1471.340480,1.1400E-004,1471.340480,6.9590E-005,1471.340480,3.2930E-005,1471.340480,2.7935E000
1471.356960,1.9390E-004,1471.356960,1.1410E-004,1471.356960,6.9520E-005,1471.356960,3.3140E-005,1471.356960,2.7891E000
1471.373440,1.9430E-004,1471.373440,1.1410E-004,1471.373440,6.9550E-005,1471.373440,3.2990E-005,1471.373440,2.7937E000
1471.389920,1.9410E-004,1471.389920,1.1420E-004,1471.389920,6.9460E-005,1471.389920,3.3230E-005,1471.389920,2.7944E000
1471.406400,1.9410E-004,1471.406400,1.1410E-004,1471.406400,6.9330E-005,1471.406400,3.3250E-005,1471.406400,2.7997E000
1471.422880,1.9450E-004,1471.422880,1.1400E-004,1471.422880,6.9480E-005,1471.422880,3.3400E-005,1471.422880,2.7994E000
1471.439360,1.9470E-004,1471.439360,1.1440E-004,1471.439360,6.9360E-005,1471.439360,3.3460E-005,1471.439360,2.8071E000
1471.455840,1.9430E-004,1471.455840,1.1420E-004,1471.455840,6.9440E-005,1471.455840,3.3590E-005,1471.455840,2.7981E000
1471.472320,1.9480E-004,1471.472320,1.1470E-004,1471.472320,6.9380E-005,1471.472320,3.3700E-005,1471.472320,2.8077E000
1471.488800,1.9500E-004,1471.488800,1.1450E-004,1471.488800,6.9500E-005,1471.488800,3.3980E-005,1471.488800,2.8058E000
1471.505280,1.9540E-004,1471.505280,1.1500E-004,1471.505280,6.9550E-005,1471.505280,3.4080E-005,1471.505280,2.8095E000
1471.521760,1.9560E-004,1471.521760,1.1500E-004,1471.521760,6.9780E-005,1471.521760,3.4190E-005,1471.521760,2.8031E000
1471.538240,1.9560E-004,1471.538240,1.1490E-004,1471.538240,6.9740E-005,1471.538240,3.4550E-005,1471.538240,2.8047E000
1471.554720,1.9580E-004,1471.554720,1.1500E-004,1471.554720,6.9630E-005,1471.554720,3.4510E-005,1471.554720,2.8120E000
1471.571200,1.9560E-004,1471.571200,1.1500E-004,1471.571200,6.9670E-005,1471.571200,3.4620E-005,1471.571200,2.8075E000
1471.587680,1.9580E-004,1471.587680,1.1490E-004,1471.587680,6.9480E-005,1471.587680,3.4680E-005,1471.587680,2.8181E000
1471.604160,1.9560E-004,1471.604160,1.1490E-004,1471.604160,6.9200E-005,1471.604160,3.4790E-005,1471.604160,2.8266E000
1471.620640,1.9540E-004,1471.620640,1.1450E-004,1471.620640,6.9420E-005,1471.620640,3.4830E-005,1471.620640,2.8148E000
1471.637120,1.9520E-004,1471.637120,1.1450E-004,1471.637120,6.9080E-005,1471.637120,3.5020E-005,1471.637120,2.8257E000
1471.653600,1.9450E-004,1471.653600,1.1440E-004,1471.653600,6.8970E-005,1471.653600,3.5060E-005,1471.653600,2.8201E000
1471.670080,1.9450E-004,1471.670080,1.1430E-004,1471.670080,6.8880E-005,1471.670080,3.4920E-005,1471.670080,2.8238E000
1471.686560,1.9560E-004,1471.686560,1.1460E-004,1471.686560,6.9010E-005,1471.686560,3.5150E-005,1471.686560,2.8344E000
1471.703040,1.9600E-004,1471.703040,1.1530E-004,1471.703040,6.9140E-005,1471.703040,3.5530E-005,1471.703040,2.8348E000
1471.719520,1.9650E-004,1471.719520,1.1560E-004,1471.719520,6.9520E-005,1471.719520,3.5810E-005,1471.719520,2.8265E000
1471.736000,1.9750E-004,1471.736000,1.1590E-004,1471.736000,6.9700E-005,1471.736000,3.5900E-005,1471.736000,2.8336E000
1471.752480,1.9770E-004,1471.752480,1.1590E-004,1471.752480,6.9630E-005,1471.752480,3.6110E-005,1471.752480,2.8393E000
1471.768960,1.9750E-004,1471.768960,1.1630E-004,1471.768960,6.9820E-005,1471.768960,3.6210E-005,1471.768960,2.8287E000
1471.785440,1.9790E-004,1471.785440,1.1650E-004,1471.785440,6.9800E-005,1471.785440,3.6540E-005,1471.785440,2.8352E000
1471.801920,1.9770E-004,1471.801920,1.1610E-004,1471.801920,6.9650E-005,1471.801920,3.6660E-005,1471.801920,2.8385E000
1471.818400,1.9790E-004,1471.818400,1.1630E-004,1471.818400,6.9500E-005,1471.818400,3.6620E-005,1471.818400,2.8475E000
1471.834880,1.9750E-004,1471.834880,1.1600E-004,1471.834880,6.9590E-005,1471.834880,3.6640E-005,1471.834880,2.8381E000
1471.851360,1.9770E-004,1471.851360,1.1610E-004,1471.851360,6.9290E-005,1471.851360,3.6660E-005,1471.851360,2.8532E000
1471.867840,1.9750E-004,1471.867840,1.1610E-004,1471.867840,6.9380E-005,1471.867840,3.6850E-005,1471.867840,2.8466E000
1471.884320,1.9790E-004,1471.884320,1.1590E-004,1471.884320,6.9290E-005,1471.884320,3.6980E-005,1471.884320,2.8561E000
1471.900800,1.9780E-004,1471.900800,1.1610E-004,1471.900800,6.9400E-005,1471.900800,3.7170E-005,1471.900800,2.8501E000
1471.917280,1.9830E-004,1471.917280,1.1650E-004,1471.917280,6.9250E-005,1471.917280,3.7130E-005,1471.917280,2.8635E000
1471.933760,1.9830E-004,1471.933760,1.1650E-004,1471.933760,6.9610E-005,1471.933760,3.7490E-005,1471.933760,2.8487E000
1471.950240,1.9870E-004,1471.950240,1.1690E-004,1471.950240,6.9670E-005,1471.950240,3.7350E-005,1471.950240,2.8520E000
1471.966720,1.9910E-004,1471.966720,1.1700E-004,1471.966720,6.9650E-005,1471.966720,3.7600E-005,1471.966720,2.8586E000
1471.983200,1.9910E-004,1471.983200,1.1700E-004,1471.983200,6.9590E-005,1471.983200,3.7900E-005,1471.983200,2.8610E000
1471.999680,1.9910E-004,1471.999680,1.1720E-004,1471.999680,6.9630E-005,1471.999680,3.8010E-005,1471.999680,2.8594E000
1472.016160,1.9910E-004,1472.016160,1.1710E-004,1472.016160,6.9670E-005,1472.016160,3.8130E-005,1472.016160,2.8578E000
1472.032640,1.9930E-004,1472.032640,1.1710E-004,1472.032640,6.9530E-005,1472.032640,3.8200E-005,1472.032640,2.8664E000
1472.049120,1.9910E-004,1472.049120,1.1710E-004,1472.049120,6.9460E-005,1472.049120,3.8330E-005,1472.049120,2.8664E000
1472.065600,1.9910E-004,1472.065600,1.1690E-004,1472.065600,6.9420E-005,1472.065600,3.8470E-005,1472.065600,2.8680E000
1472.082080,1.9870E-004,1472.082080,1.1680E-004,1472.082080,6.9360E-005,1472.082080,3.8500E-005,1472.082080,2.8648E000
1472.098560,1.9830E-004,1472.098560,1.1660E-004,1472.098560,6.9040E-005,1472.098560,3.8410E-005,1472.098560,2.8722E000
1472.115040,1.9810E-004,1472.115040,1.1670E-004,1472.115040,6.8950E-005,1472.115040,3.8600E-005,1472.115040,2.8731E000
1472.131520,1.9800E-004,1472.131520,1.1650E-004,1472.131520,6.8990E-005,1472.131520,3.8490E-005,1472.131520,2.8700E000
1472.148000,1.9810E-004,1472.148000,1.1620E-004,1472.148000,6.8800E-005,1472.148000,3.8690E-005,1472.148000,2.8794E000
